Time, Temperature(C), Prev. Hrs. Energy consumption (W-hr), Voltage (volts), Current (amps), Average Energy till now (W-hr), Energy Consumption Estimated for Current Hr. (W-hr)
14, 21.037, 2505.51, 231.664, 11.3407, 2250.46, 1729.92
15, 25.6384, 1729.92, 221.263, 18.1073, 2327.1, 3476.77
16, 29.0985, 3476.77, 236.881, 10.7661, 2363.68, 2948.85
17, 28.2904, 2948.85, 237.014, 17.0545, 2415.11, 3289.54
18, 24.3878, 3289.54, 227.495, 16.9545, 2423.85, 2581.21
19, 36.4585, 2581.21, 233.401, 14.8225, 2481.7, 3580.74
20, 32.8669, 3580.74, 221.966, 18.2959, 2602.33, 5014.93
21, 33.2262, 5014.93, 239.613, 17.1266, 2669.61, 4082.49
22, 33.8376, 4082.49, 233.214, 11.8771, 2705.16, 3487.18
23, 38.345, 3487.18, 225.86, 5.12948, 2658.07, 1575.2
0, 38.0405, 1575.2, 227.125, 15.6009, 3850.82, 3850.82
1, 20.8489, 3850.82, 234.336, 15.1029, 3278.99, 2707.17
2, 21.5631, 2707.17, 224.374, 13.8309, 2863.15, 2031.46
3, 25.3288, 2031.46, 227.153, 11.5931, 2720.33, 2291.89
4, 34.8128, 2291.89, 235.248, 11.4242, 2852.38, 3380.56
5, 37.1513, 3380.56, 227.292, 6.84942, 2741.21, 2185.37
6, 34.5864, 2185.37, 234.321, 10.8564, 2774.42, 2973.71
7, 21.6139, 2973.71, 220.217, 13.0793, 2709.69, 2256.55
8, 25.1223, 2256.55, 239.325, 5.44302, 2509.77, 910.407
9, 32.066, 910.407, 237.956, 16.9305, 2661.09, 4022.97
10, 33.1489, 4022.97, 224.216, 12.0005, 2678.42, 2851.71
11, 34.0432, 2851.71, 233.999, 19.9692, 2830.55, 4503.93
12, 24.2571, 4503.93, 225.907, 18.7756, 2856.05, 3162.07
13, 20.8345, 3162.07, 235.045, 19.1404, 2900.13, 3473.17
14, 37.1816, 3473.17, 239.089, 18.1022, 3101.57, 5921.73
15, 34.426, 5921.73, 220.575, 19.789, 3175.18, 4279.36
16, 31.5305, 4279.36, 239.519, 15.4272, 3266.31, 4724.33
17, 31.3922, 4724.33, 221.523, 12.7898, 3230.13, 2615.23
18, 31.4188, 2615.23, 237.526, 7.6626, 3173.44, 2152.94
19, 20.555, 2152.94, 231.269, 16.2222, 3155.98, 2824.2
20, 23.5272, 2824.2, 230.573, 9.19835, 3102.14, 2025.43
21, 23.8417, 2025.43, 234.375, 12.2345, 3071.88, 2436.35
22, 22.679, 2436.35, 228.132, 5.90877, 2985.5, 1085.07
23, 20.0319, 1085.07, 227.855, 9.51751, 2923.01, 1485.9
0, 25.2249, 1485.9, 231.855, 17.7171, 4047.2, 4047.2
1, 22.2958, 4047.2, 236.105, 17.6192, 3758.11, 3469.01
2, 37.4968, 3469.01, 238.03, 11.7337, 3503.53, 2994.38
3, 22.6802, 2994.38, 220.061, 13.8023, 3205.1, 2309.83
4, 38.6655, 2309.83, 228.08, 16.9686, 3541.71, 4888.11
5, 29.8342, 4888.11, 221.754, 6.43231, 3147.89, 1178.83
6, 24.2526, 1178.83, 234.318, 14.7802, 3182.91, 3393.03
7, 39.267, 3393.03, 230.602, 10.2237, 3209.79, 3397.92
8, 20.4769, 3397.92, 236.171, 18.4916, 3217.29, 3277.33
9, 33.7772, 3277.33, 235.871, 7.61437, 3131.51, 2359.47
10, 32.2697, 2359.47, 230.768, 14.0078, 3211.26, 4008.73
11, 31.3643, 4008.73, 228.397, 14.6804, 3274.79, 3973.7
12, 31.1023, 3973.7, 235.761, 7.49372, 3156.74, 1740.07
13, 31.3526, 1740.07, 224.979, 12.1223, 3136.98, 2880.14
14, 26.2917, 2880.14, 222.637, 19.3498, 3220.42, 4388.61
15, 21.5994, 4388.61, 220.21, 19.9308, 3245.07, 3614.73
16, 28.2054, 3614.73, 234.538, 6.76931, 3138.61, 1435.36
17, 25.0391, 1435.36, 221.493, 6.03131, 3028.97, 1164.96
18, 36.8783, 1164.96, 238.383, 13.2649, 3070.46, 3817.41
19, 29.9227, 3817.41, 227.006, 8.78865, 3015.95, 1980.2
20, 35.1957, 1980.2, 223.473, 16.6099, 3115.23, 5100.78
21, 20.1275, 5100.78, 226, 11.672, 3068.58, 2088.95
22, 37.6057, 2088.95, 224.541, 16.7736, 3103.41, 3869.79
23, 20.5421, 3869.79, 236.68, 10.0156, 3047.24, 1755.27
0, 33.9906, 1755.27, 226.965, 10.069, 2857.93, 2857.93
1, 21.1541, 2857.93, 239.258, 10.5034, 2261.95, 1665.97
2, 25.3075, 1665.97, 229.565, 12.2372, 2321.23, 2439.8
3, 36.9977, 2439.8, 233.61, 9.25537, 2303.92, 2251.97
4, 21.7268, 2251.97, 227.731, 5.04141, 2042.97, 999.19
5, 39.1603, 999.19, 234.703, 11.1594, 2174.56, 2832.49
6, 30.5266, 2832.49, 222.679, 5.00059, 2058.98, 1365.49
7, 36.539, 1365.49, 221.953, 5.15368, 1985, 1467.14
8, 39.0208, 1467.14, 231.837, 8.9027, 2080.73, 2846.56
9, 20.7306, 2846.56, 232.925, 15.137, 2168.69, 2960.39
10, 20.3816, 2960.39, 228.604, 9.85951, 2118.27, 1614.08
11, 27.6317, 1614.08, 225.864, 5.9405, 2042.07, 1203.82
12, 32.7866, 1203.82, 234.785, 15.9833, 2227.57, 4453.56
13, 22.1388, 4453.56, 221.515, 13.5334, 2242.02, 2429.82
14, 28.5925, 2429.82, 220.599, 19.4288, 2401.75, 4637.99
15, 26.0342, 4637.99, 231.13, 18.2042, 2516.57, 4238.97
16, 25.6731, 4238.97, 222.793, 19.2941, 2589.48, 3755.95
17, 20.3239, 3755.95, 224.741, 15.7248, 2587.13, 2547.14
18, 24.3061, 2547.14, 223.654, 12.7134, 2590.99, 2660.61
19, 32.8557, 2660.61, 227.288, 12.0143, 2625.35, 3278.04
20, 37.8464, 3278.04, 235.492, 6.64568, 2591.92, 1923.31
21, 31.6383, 1923.31, 234.301, 8.82822, 2562.2, 1938.27
22, 37.9241, 1938.27, 225.416, 19.8769, 2713.12, 6033.21
23, 28.6857, 6033.21, 236.91, 16.5965, 2780.87, 4339.28
0, 32.009, 4339.28, 229.515, 13.172, 3086.47, 3086.47
1, 34.1237, 3086.47, 221.835, 19.6542, 4277.43, 5468.39
2, 21.9643, 5468.39, 222.53, 9.02659, 3268.49, 1250.6
3, 26.2193, 1250.6, 227.375, 5.58294, 2726.57, 1100.83
4, 29.4642, 1100.83, 239.029, 17.8479, 2906.32, 3625.34
5, 35.1093, 3625.34, 223.042, 14.3096, 2931.66, 3058.33
6, 22.2819, 3058.33, 236.47, 10.6921, 2794.84, 1973.94
7, 33.9882, 1973.94, 221.594, 5.02154, 2606.43, 1287.55
8, 35.3984, 1287.55, 230.079, 14.0098, 2764.23, 4026.67
9, 26.1432, 4026.67, 233.874, 19.3698, 2857.79, 3699.81
10, 37.6519, 3699.81, 228.046, 6.20209, 2746.19, 1630.2
11, 39.2927, 1630.2, 228.399, 12.9478, 2909.28, 4703.24
12, 25.9386, 4703.24, 235.829, 12.7131, 2924.12, 3102.21
13, 31.6494, 3102.21, 222.035, 14.5346, 2970.87, 3578.57
14, 25.0005, 3578.57, 236.666, 13.443, 2938.86, 2490.68
15, 39.6135, 2490.68, 233.629, 9.19895, 2912.93, 2524.04
16, 32.8962, 2524.04, 226.678, 10.2244, 2870.28, 2187.93
17, 28.1942, 2187.93, 229.19, 9.85396, 2828.76, 2122.88
18, 37.1331, 2122.88, 226.427, 18.1787, 2981.14, 5724.08
19, 33.4929, 5724.08, 231.111, 7.82445, 2950.96, 2377.52
20, 34.3888, 2377.52, 237.28, 16.3471, 3016.49, 4326.95
21, 39.779, 4326.95, 225.235, 9.0438, 3006.55, 2797.92
22, 39.352, 2797.92, 234.723, 9.63793, 2990.67, 2641.32
23, 25.8871, 2641.32, 232.68, 11.0913, 2961.9, 2300.12
0, 33.5714, 2300.12, 221.469, 7.01315, 2096.89, 2096.89
1, 29.3422, 2096.89, 238.586, 12.9801, 2362.85, 2628.81
2, 24.005, 2628.81, 231.523, 6.19037, 1937, 1085.31
3, 34.828, 1085.31, 224.197, 8.39911, 2049.76, 2388.01
4, 34.9043, 2388.01, 221.174, 17.5862, 2444.87, 4025.34
5, 30.4281, 4025.34, 221.212, 5.01967, 2230.73, 1160.03
6, 35.337, 1160.03, 220.996, 7.7919, 2262.51, 2453.2
7, 32.042, 2453.2, 222.551, 13.8484, 2318.7, 2712.01
8, 29.1113, 2712.01, 231.083, 11.7555, 2403.27, 3079.87
9, 28.0238, 3079.87, 222.466, 12.5198, 2440.57, 2776.24
10, 37.9241, 2776.24, 229.403, 17.1117, 2637.29, 4604.48
11, 37.8115, 4604.48, 222.237, 15.7013, 2785.58, 4416.75
12, 23.7804, 4416.75, 235.888, 11.1993, 2739.98, 2192.79
13, 32.5567, 2192.79, 230.981, 11.5229, 2724.93, 2529.25
14, 23.3681, 2529.25, 221.083, 18.6495, 2792.12, 3732.9
15, 28.0062, 3732.9, 233.356, 14.9221, 2851.86, 3747.86
16, 32.5478, 3747.86, 237.93, 10.4041, 2853.55, 2880.63
17, 36.823, 2880.63, 233.039, 16.6457, 2933.61, 4294.69
18, 30.0993, 4294.69, 236.12, 12.7384, 2970.18, 3628.37
19, 27.1697, 3628.37, 229.275, 6.2458, 2887.1, 1308.49
20, 38.6614, 1308.49, 237.031, 10.1219, 2909.27, 3352.67
21, 30.4727, 3352.67, 228.702, 12.493, 2919.64, 3137.59
22, 27.2581, 3137.59, 234.695, 18.3083, 2998.11, 4724.4
23, 36.9127, 4724.4, 228.247, 15.8261, 3077.82, 4911.12
0, 21.8812, 4911.12, 234.513, 13.4903, 2449.2, 2449.2
1, 34.6683, 2449.2, 228.542, 16.4077, 3606.55, 4763.89
2, 24.6646, 4763.89, 233.906, 10.4149, 3034.99, 1891.88
3, 29.4444, 1891.88, 237.082, 16.0839, 3150.53, 3497.16
4, 31.0285, 3497.16, 224.336, 18.9376, 3330.94, 4052.55
5, 33.0797, 4052.55, 221.067, 19.9654, 3514.19, 4430.45
6, 26.2902, 4430.45, 224.787, 10.0784, 3300.14, 2015.84
7, 22.4625, 2015.84, 236.239, 15.2138, 3186.67, 2392.41
8, 24.735, 2392.41, 226.234, 18.9049, 3190.02, 3216.78
9, 34.966, 3216.78, 222.174, 19.0314, 3310.27, 4392.52
10, 35.5821, 4392.52, 235.586, 5.51273, 3176.61, 1839.98
11, 30.9512, 1839.98, 233.416, 13.1032, 3194.48, 3391.11
12, 34.4113, 3391.11, 223.049, 19.0612, 3380.09, 5607.42
13, 38.956, 5607.42, 239.202, 18.7947, 3596.51, 6409.98
14, 35.7733, 6409.98, 228.05, 5.73362, 3480.97, 1863.4
15, 20.6385, 1863.4, 225.261, 9.80202, 3344.47, 1296.98
16, 31.2819, 1296.98, 239.117, 5.87099, 3231.67, 1426.75
17, 37.8873, 1426.75, 233.14, 14.3462, 3297.94, 4424.66
18, 32.5908, 4424.66, 226.738, 15.4231, 3338.68, 4071.91
19, 22.4004, 4071.91, 227.416, 16.5667, 3336.29, 3290.9
20, 35.1916, 3290.9, 227.756, 5.78039, 3254.79, 1624.84
21, 33.9923, 1624.84, 220.611, 11.1681, 3259.16, 3350.85
22, 20.1269, 3350.85, 230.505, 16.6692, 3229.23, 2570.83
23, 36.6458, 2570.83, 232.839, 9.24625, 3194.78, 2402.31
0, 26.0123, 2402.31, 233.082, 12.9969, 2532.15, 2532.15
1, 33.8678, 2532.15, 235.385, 6.97041, 2305.57, 2078.99
2, 27.4613, 2078.99, 222.685, 13.0109, 2400.42, 2590.12
3, 26.1679, 2590.12, 231.539, 15.7728, 2540.67, 2961.42
4, 34.8464, 2961.42, 221.595, 16.9853, 2972.19, 4698.28
5, 25.756, 4698.28, 235.824, 11.8299, 2802.63, 1954.8
6, 31.4841, 1954.8, 238.89, 14.026, 2842.07, 3078.71
7, 24.1285, 3078.71, 238.472, 17.2036, 2913.07, 3410.09
8, 28.603, 3410.09, 226.91, 11.6302, 2818.75, 2064.13
9, 28.3104, 2064.13, 221.176, 17.1161, 2831.81, 2949.37
10, 20.6984, 2949.37, 224.237, 5.95178, 2673.64, 1091.98
11, 35.6931, 1091.98, 239.441, 19.5464, 2919.77, 5627.13
12, 26.3957, 5627.13, 236.568, 19.8361, 3053.91, 4663.64
13, 39.4656, 4663.64, 233.995, 13.4365, 3078.66, 3400.37
14, 39.323, 3400.37, 232.753, 9.20999, 3059.3, 2788.32
15, 20.7491, 2788.32, 238.949, 9.40175, 2958.18, 1441.42
16, 30.439, 1441.42, 221.484, 11.7932, 2945.86, 2748.74
17, 30.1309, 2748.74, 237.847, 5.36192, 2844.62, 1123.39
18, 26.8211, 1123.39, 237.243, 6.75926, 2761.67, 1268.7
19, 26.028, 1268.7, 229.34, 14.0267, 2749.48, 2517.77
20, 29.6018, 2517.77, 228.529, 10.8674, 2721.76, 2167.49
21, 23.2377, 2167.49, 223.884, 10.8837, 2675.81, 1710.83
22, 33.0306, 1710.83, 235.325, 12.7762, 2686.19, 2914.4
23, 36.0899, 2914.4, 239.991, 15.1171, 2785.57, 5071.43
0, 27.1343, 5071.43, 220.651, 19.6085, 3237.29, 3237.29
1, 39.5988, 3237.29, 231.524, 19.9539, 4536.93, 5836.58
2, 29.665, 5836.58, 226.668, 19.7954, 4453.18, 4285.69
3, 32.8842, 4285.69, 229.927, 13.3342, 4357.69, 4071.22
4, 28.2729, 4071.22, 220.488, 11.2019, 3946.38, 2301.15
5, 27.2684, 2301.15, 236.582, 15.7132, 3898.38, 3658.34
6, 20.8456, 3658.34, 232.205, 15.7885, 3707.56, 2562.68
7, 22.586, 2562.68, 237.779, 10.1096, 3468.92, 1798.42
8, 27.804, 1798.42, 235.946, 16.2618, 3521.29, 3940.27
9, 34.2738, 3940.27, 221.525, 15.042, 3521.67, 3525.02
10, 35.4582, 3525.02, 235.79, 11.532, 3541.31, 3737.75
11, 34.4554, 3737.75, 227.058, 7.83523, 3432.48, 2235.41
12, 21.2587, 2235.41, 231.24, 14.4406, 3353.52, 2405.95
13, 35.6048, 2405.95, 233.183, 19.0462, 3437.21, 4525.14
14, 33.6696, 4525.14, 224.497, 18.7083, 3520.11, 4680.76
15, 33.5578, 4680.76, 228.416, 14.2864, 3544.67, 3912.98
16, 21.2537, 3912.98, 228.643, 10.2838, 3421.14, 1444.73
17, 29.4426, 1444.73, 223.823, 6.82043, 3309.98, 1420.24
18, 30.82, 1420.24, 223.072, 14.3135, 3341.46, 3908.12
19, 37.8493, 3908.12, 221.256, 9.17848, 3305.87, 2629.71
20, 34.9988, 2629.71, 225.232, 5.31903, 3215.82, 1414.68
21, 30.0714, 1414.68, 222.466, 10.434, 3169.71, 2201.57
22, 38.0814, 2201.57, 227.439, 6.28531, 3126.98, 2186.82
23, 26.2737, 2186.82, 221.741, 11.4044, 3085.25, 2125.49
0, 24.6387, 2125.49, 230.835, 10.575, 2256.01, 2256.01
1, 35.0082, 2256.01, 239.674, 18.9565, 3653.7, 5051.38
2, 33.4861, 5051.38, 239.392, 16.2891, 3858.85, 4269.16
3, 23.3417, 4269.16, 222.079, 13.9145, 3497.71, 2414.27
4, 39.5192, 2414.27, 220.349, 5.07888, 3126.43, 1641.34
5, 31.4029, 1641.34, 237.3, 9.11831, 2938.67, 1999.89
6, 32.9664, 1999.89, 226.192, 5.59685, 2708.28, 1325.94
7, 34.1988, 1325.94, 235.828, 5.70264, 2563.89, 1553.16
8, 28.7498, 1553.16, 239.815, 18.3121, 2681.34, 3620.87
9, 35.5053, 3620.87, 237.06, 13.9552, 2737.31, 3241.09
10, 22.3724, 3241.09, 225.288, 7.55873, 2619.07, 1436.7
11, 24.4153, 1436.7, 232.129, 8.0889, 2515.81, 1379.93
12, 29.3096, 1379.93, 229.334, 5.88434, 2442.47, 1562.4
13, 36.1399, 1562.4, 238.719, 13.0746, 2492.13, 3137.64
14, 38.3465, 3137.64, 230.899, 8.39636, 2508.96, 2744.57
15, 38.1056, 2744.57, 227.401, 13.0632, 2577.35, 3603.3
16, 31.4216, 3603.3, 221.381, 19.8804, 2738.45, 5315.95
17, 20.3623, 5315.95, 232.172, 17.5834, 2719.93, 2405.21
18, 33.1039, 2405.21, 227.723, 14.6128, 2803.67, 4310.92
19, 32.397, 4310.92, 227.555, 8.79631, 2771.22, 2154.61
20, 25.2374, 2154.61, 231.167, 12.4582, 2756.81, 2468.59
21, 39.9003, 2468.59, 239.003, 11.4007, 2829.77, 4362.07
22, 37.0515, 4362.07, 232.71, 5.73275, 2781.64, 1722.72
23, 25.1203, 1722.72, 235.005, 11.8419, 2758.49, 2225.97
0, 34.954, 2225.97, 236.775, 13.4858, 3466.57, 3466.57
1, 28.4117, 3466.57, 220.098, 5.66445, 2374.6, 1282.62
2, 23.6837, 1282.62, 224.376, 7.27727, 2024.63, 1324.69
3, 29.9459, 1324.69, 235.754, 11.7493, 2122.21, 2414.94
4, 24.702, 2414.94, 234.333, 5.80899, 1948.05, 1251.43
5, 39.1106, 1251.43, 228.73, 5.18116, 1902.61, 1675.41
6, 26.8382, 1675.41, 237.562, 17.1254, 2260.21, 4405.79
7, 23.6924, 4405.79, 221.677, 9.91408, 2201.79, 1792.9
8, 31.2307, 1792.9, 236.996, 5.09823, 2102.3, 1306.33
9, 31.261, 1306.33, 233.521, 9.58351, 2143.09, 2510.19
10, 26.5044, 2510.19, 230.642, 8.69289, 2084.53, 1498.97
11, 22.6805, 1498.97, 224.367, 17.3451, 2190.12, 3351.57
12, 33.4102, 3351.57, 220.468, 9.66823, 2171.99, 1954.43
13, 24.9512, 1954.43, 222.054, 10.2901, 2155.07, 1935.22
14, 22.0695, 1935.22, 232.642, 9.31, 2136.01, 1869.04
15, 35.1121, 1869.04, 226.799, 12.678, 2220.93, 3494.84
16, 28.0166, 3494.84, 223.674, 13.9981, 2261.97, 2918.54
17, 21.981, 2918.54, 221.636, 19.5794, 2300.26, 2951.13
18, 22.4392, 2951.13, 228.993, 13.8016, 2308.55, 2457.85
19, 33.3565, 2457.85, 226.253, 14.454, 2357.97, 3297.03
20, 22.4792, 3297.03, 229.451, 5.68613, 2284.58, 816.79
21, 32.2431, 816.79, 227.354, 13.9418, 2357.36, 3885.59
22, 32.4785, 3885.59, 239.036, 15.3869, 2425.58, 3926.58
23, 25.6401, 3926.58, 229.995, 13.0672, 2439.64, 2762.91
0, 27.4504, 2762.91, 239.094, 9.21205, 2053.05, 2053.05
1, 24.9926, 2053.05, 221.388, 15.9429, 2535.11, 3017.18
2, 23.9832, 3017.18, 234.967, 11.8367, 2462.74, 2317.99
3, 25.7863, 2317.99, 223.634, 12.4036, 2449.42, 2409.47
4, 36.4063, 2409.47, 223.314, 14.2618, 2851.36, 4459.11
5, 28.8155, 4459.11, 229.451, 5.32582, 2577.04, 1205.41
6, 32.9853, 1205.41, 230.287, 8.7129, 2584.9, 2632.08
7, 25.8111, 2632.08, 234.219, 17.4608, 2687.75, 3407.69
8, 22.4747, 3407.69, 226.736, 14.8067, 2619.99, 2077.95
9, 31.8979, 2077.95, 233.51, 14.6689, 2683.16, 3251.67
10, 28.902, 3251.67, 228.393, 16.415, 2809.3, 4070.65
11, 37.7896, 4070.65, 232.089, 8.93557, 2797.57, 2668.57
12, 23.3705, 2668.57, 228.339, 12.978, 2764.02, 2361.44
13, 25.0221, 2361.44, 238.485, 18.4223, 2814.23, 3467.02
14, 22.9059, 3467.02, 232.378, 10.3647, 2735.29, 1630.06
15, 31.9677, 1630.06, 232.634, 17.6227, 2832.77, 4295.02
16, 38.3714, 4295.02, 228.977, 16.3826, 2992.44, 5547.07
17, 32.1451, 5547.07, 238.43, 11.4364, 3003.44, 3190.54
18, 21.954, 3190.54, 230.863, 6.80407, 2916.67, 1354.83
19, 34.2663, 1354.83, 238.21, 9.43689, 2891.52, 2413.57
20, 31.5452, 2413.57, 230.215, 9.47896, 2865.47, 2344.59
21, 21.6355, 2344.59, 239.838, 19.4683, 2877.67, 3133.89
22, 28.0383, 3133.89, 232.78, 16.6894, 2944.22, 4408.24
23, 26.6259, 4408.24, 221.996, 17.0689, 2946.26, 2993.19
0, 33.9295, 2993.19, 237.955, 7.56805, 1793.95, 1793.95
1, 25.3241, 1793.95, 234.594, 14.4612, 2179.64, 2565.33
2, 28.0075, 2565.33, 227.652, 14.5389, 2428.92, 2927.47
3, 33.9643, 2927.47, 231.599, 5.20496, 2229.9, 1632.84
4, 24.427, 1632.84, 228.853, 17.8918, 2340.9, 2784.92
5, 21.1245, 2784.92, 237.944, 9.65655, 2171.28, 1323.18
6, 21.9979, 1323.18, 229.967, 13.927, 2210.25, 2444.03
7, 35.3852, 2444.03, 231.614, 12.7763, 2403.3, 3754.71
8, 28.6737, 3754.71, 237.157, 11.1373, 2450.45, 2827.64
9, 36.8658, 2827.64, 238.547, 10.9638, 2519.57, 3141.64
10, 31.4684, 3141.64, 232.455, 13.3307, 2604.52, 3453.99
11, 39.1427, 3453.99, 220.323, 13.3503, 2653.68, 3194.4
12, 34.2184, 3194.4, 234.765, 13.8488, 2786.49, 4380.28
13, 20.4738, 4380.28, 221.105, 6.82495, 2658.84, 999.348
14, 31.0137, 999.348, 237.759, 8.32174, 2614.22, 1989.56
15, 21.4457, 1989.56, 231.948, 15.0586, 2623.36, 2760.49
16, 36.9038, 2760.49, 235.032, 16.1352, 2693.09, 3808.79
17, 20.2176, 3808.79, 228.91, 5.19156, 2592.75, 886.871
18, 30.3896, 886.871, 231.774, 10.6269, 2578.48, 2321.65
19, 39.6903, 2321.65, 228.99, 11.4696, 2656.91, 4147.17
20, 27.8841, 4147.17, 220.029, 18.6155, 2704.97, 3666.09
21, 27.2888, 3666.09, 236.241, 19.7492, 2773.79, 4219.07
22, 28.2275, 4219.07, 220.104, 13.9189, 2768.69, 2656.42
23, 39.9226, 2656.42, 239.878, 6.25522, 2727.58, 1782
0, 31.1147, 1782, 231.26, 6.50213, 1588.76, 1588.76
1, 32.2609, 1588.76, 227.674, 12.5856, 2233.55, 2878.34
2, 22.9663, 2878.34, 220.862, 9.75507, 1957.89, 1406.57
3, 30.9355, 1406.57, 227.446, 15.9773, 2394.31, 3703.56
4, 32.3195, 3703.56, 237.14, 12.9795, 2485.13, 2848.42
5, 31.1051, 2848.42, 238.462, 19.3103, 2718.6, 3885.97
6, 20.9421, 3885.97, 221.331, 16.8309, 2654.76, 2271.69
7, 32.9492, 2271.69, 238.239, 16.9012, 2924.25, 4810.68
8, 39.3465, 4810.68, 222.687, 5.35431, 2763.66, 1478.99
9, 22.3197, 1478.99, 236.334, 14.6333, 2703.91, 2166.09
10, 37.7182, 2166.09, 229.726, 16.357, 2939.59, 5296.46
11, 24.2704, 5296.46, 224.371, 15.1283, 2935.21, 2887
12, 35.8332, 2887, 220.971, 13.9413, 3024.93, 4101.52
13, 26.611, 4101.52, 224.356, 19.5957, 3125.98, 4439.67
14, 31.6985, 4439.67, 225.753, 13.9258, 3176.87, 3889.39
15, 35.3754, 3889.39, 234.418, 5.19667, 3079.37, 1616.74
16, 31.7988, 1616.74, 220.459, 8.41776, 3029.91, 2238.69
17, 33.7558, 2238.69, 222.807, 5.34494, 2950.93, 1608.26
18, 29.4377, 1608.26, 236.89, 8.86825, 2913.26, 2235.19
19, 29.7177, 2235.19, 232.838, 6.87989, 2837.62, 1400.36
20, 20.3676, 1400.36, 222.088, 17.5603, 2811.52, 2289.54
21, 36.3171, 2289.54, 220.321, 8.52562, 2774.07, 1987.56
22, 31.8426, 1987.56, 234.23, 8.03509, 2727.41, 1700.91
23, 21.0409, 1700.91, 230.514, 5.74345, 2651.24, 899.411
0, 28.9374, 899.411, 222.302, 19.2364, 4161.59, 4161.59
1, 20.441, 4161.59, 234.032, 13.6999, 3310.14, 2458.69
2, 25.5356, 2458.69, 228.49, 5.77089, 2655.72, 1346.88
3, 30.0419, 1346.88, 226.966, 13.174, 2690.19, 2793.6
4, 35.5911, 2793.6, 224.025, 5.4207, 2389.31, 1185.78
5, 36.3232, 1185.78, 239.512, 7.25295, 2287.69, 1779.61
6, 25.4439, 1779.61, 231.442, 12.0939, 2322.42, 2530.83
7, 38.6351, 2530.83, 222.409, 17.2514, 2722.42, 5522.36
8, 36.8725, 5522.36, 223.86, 16.2373, 2870.34, 4053.78
9, 25.9627, 4053.78, 239.219, 10.5828, 2809.27, 2259.58
10, 37.5082, 2259.58, 222.264, 6.61089, 2748.69, 2142.87
11, 36.1507, 2142.87, 223.534, 12.9343, 2785.52, 3190.65
12, 34.7206, 3190.65, 228.973, 15.1717, 2922.24, 4562.86
13, 24.3397, 4562.86, 231.341, 16.0619, 2911.54, 2772.57
14, 34.8516, 2772.57, 231.386, 18.8923, 3104.04, 5799.02
15, 21.0029, 5799.02, 225.49, 14.1294, 3053.11, 2289.13
16, 35.7347, 2289.13, 236.19, 17.0314, 3169.59, 5033.28
17, 20.8105, 5033.28, 234.961, 15.8798, 3166.63, 3116.26
18, 31.0381, 3116.26, 227.869, 10.232, 3123, 2337.63
19, 39.4069, 2337.63, 236.932, 5.41816, 3058.17, 1826.41
20, 37.8741, 1826.41, 228.331, 16.7634, 3100.49, 3946.85
21, 30.737, 3946.85, 237.766, 5.76245, 3019.42, 1317.11
22, 35.8378, 1317.11, 239.889, 17.3311, 3133.97, 5653.98
23, 20.5136, 5653.98, 233.028, 6.4329, 3043.15, 954.281
0, 32.9661, 954.281, 238.436, 18.2323, 4546.51, 4546.51
1, 39.3748, 4546.51, 232.744, 12.8538, 4411.14, 4275.76
2, 21.8974, 4275.76, 239.927, 12.2506, 3734.98, 2382.68
3, 30.4326, 2382.68, 232.545, 17.4993, 3767.22, 3863.93
4, 26.4232, 3863.93, 228.328, 17.5307, 3713.45, 3498.35
5, 38.5722, 3498.35, 229.088, 13.9482, 3904.74, 4861.23
6, 24.2436, 4861.23, 222.274, 11.076, 3646.72, 2098.57
7, 25.4084, 2098.57, 234.725, 13.3899, 3514.9, 2592.16
8, 37.8195, 2592.16, 225.225, 17.811, 3691.16, 5101.22
9, 26.9823, 5101.22, 229.544, 7.2986, 3492.49, 1704.5
10, 28.0787, 1704.5, 239.602, 19.1685, 3492.02, 3487.29
11, 23.7133, 3487.29, 225.614, 14.3527, 3374.2, 2078.15
12, 24.2634, 2078.15, 234.382, 13.9858, 3298.36, 2388.35
13, 36.8838, 2388.35, 230.132, 5.45526, 3163.17, 1405.71
14, 25.9818, 1405.71, 220.316, 12.6618, 3140.55, 2823.88
15, 26.5591, 2823.88, 223.332, 17.4141, 3199.94, 4090.7
16, 24.5193, 4090.7, 238.423, 5.6475, 3074.36, 1065.16
17, 32.8522, 1065.16, 236.137, 6.17646, 2987.02, 1502.18
18, 25.7722, 1502.18, 232.083, 8.31204, 2901.04, 1353.36
19, 28.8015, 1353.36, 221.922, 18.1872, 2980.52, 4490.65
20, 22.8592, 4490.65, 229.3, 15.86, 2947.21, 2281.14
21, 38.2414, 2281.14, 226.477, 15.5321, 3003.22, 4179.24
22, 34.8965, 4179.24, 229.978, 18.1067, 3072.95, 4607
23, 20.5065, 4607, 236.375, 7.39513, 2986.02, 986.745
0, 24.415, 986.745, 228.927, 5.91159, 900.919, 900.919
1, 23.7615, 900.919, 220.871, 13.7426, 1683.2, 2465.49
2, 29.3965, 2465.49, 234.151, 7.85092, 1640.47, 1554.99
3, 30.7629, 1554.99, 221.343, 18.2566, 2209.39, 3916.17
4, 34.7732, 3916.17, 223.271, 8.73525, 2244.88, 2386.82
5, 34.232, 2386.82, 228.915, 18.603, 2610.2, 4436.81
6, 33.0214, 4436.81, 225.98, 11.2891, 2709.81, 3307.47
7, 24.2164, 3307.47, 234.521, 5.68149, 2483.94, 902.852
8, 23.4998, 902.852, 223.363, 19.2432, 2535.21, 2945.33
